"ID","Name","Department","Salary"
"104","Employee 104","HR","102000.00"
"105","Employee 105","IT","102500.00"
"106","Employee 106","Marketing","103000.00"
"107","Employee 107","Operations","103500.00"
"108","Employee 108","Finance","104000.00"
"109","Employee 109","Sales","104500.00"
"110","Employee 110","HR","105000.00"
"111","Employee 111","IT","105500.00"
"112","Employee 112","Marketing","106000.00"
"113","Employee 113","Operations","106500.00"
"114","Employee 114","Finance","107000.00"
"115","Employee 115","Sales","107500.00"
"116","Employee 116","HR","108000.00"
"117","Employee 117","IT","108500.00"
"118","Employee 118","Marketing","109000.00"
"119","Employee 119","Operations","109500.00"
"120","Employee 120","Finance","110000.00"
"121","Employee 121","Sales","110500.00"
"122","Employee 122","HR","111000.00"
"123","Employee 123","IT","111500.00"
"124","Employee 124","Marketing","112000.00"
"125","Employee 125","Operations","112500.00"
"126","Employee 126","Finance","113000.00"
"127","Employee 127","Sales","113500.00"
"128","Employee 128","HR","114000.00"
"129","Employee 129","IT","114500.00"
"130","Employee 130","Marketing","115000.00"
"131","Employee 131","Operations","115500.00"
"132","Employee 132","Finance","116000.00"
"133","Employee 133","Sales","116500.00"
"134","Employee 134","HR","117000.00"
"135","Employee 135","IT","117500.00"
"136","Employee 136","Marketing","118000.00"
"137","Employee 137","Operations","118500.00"
"138","Employee 138","Finance","119000.00"
"139","Employee 139","Sales","119500.00"
"140","Employee 140","HR","120000.00"
"141","Employee 141","IT","120500.00"
"142","Employee 142","Marketing","121000.00"
"143","Employee 143","Operations","121500.00"
"144","Employee 144","Finance","122000.00"
"145","Employee 145","Sales","122500.00"
"146","Employee 146","HR","123000.00"
"147","Employee 147","IT","123500.00"
"148","Employee 148","Marketing","124000.00"
"149","Employee 149","Operations","124500.00"
"150","Employee 150","Finance","125000.00"
"151","Employee 151","Sales","125500.00"
"152","Employee 152","HR","126000.00"
"153","Employee 153","IT","126500.00"
"154","Employee 154","Marketing","127000.00"
"155","Employee 155","Operations","127500.00"
"156","Employee 156","Finance","128000.00"
"157","Employee 157","Sales","128500.00"
"158","Employee 158","HR","129000.00"
"159","Employee 159","IT","129500.00"
"160","Employee 160","Marketing","130000.00"
"161","Employee 161","Operations","130500.00"
"162","Employee 162","Finance","131000.00"
"163","Employee 163","Sales","131500.00"
